total_time,inference_time,memcpy_h2d_time,memcpy_d2h_time
0.004881973960436881,0.0021504099713638425,0.00027539103757590055,2.1014013327658176e-05
0.003800026956014335,0.002149724983610213,0.00027784204576164484,1.8942984752357006e-05
0.003966430085711181,0.0023815040476620197,0.0003746550064533949,2.0883046090602875e-05
0.0038200030103325844,0.002161990967579186,0.0004358789883553982,1.9953935407102108e-05
0.0036182600306347013,0.002168986015021801,0.0002666449872776866,1.8589082174003124e-05
0.004155126982368529,0.0021739969961345196,0.000352993025444448,1.809094101190567e-05
0.003761804080568254,0.0025121279759332538,0.00027898303233087063,2.047303132712841e-05
0.003701198031194508,0.0023219010327011347,0.0003967320080846548,1.995800994336605e-05
0.0038019230123609304,0.002176978043280542,0.0003587929531931877,1.824100036174059e-05
0.0034878869773820043,0.0023540309630334377,0.00023947900626808405,1.8098042346537113e-05
0.003875800990499556,0.0024076090194284916,0.0003389159683138132,2.01669754460454e-05
0.003611978027038276,0.002158357994630933,0.0003340530674904585,2.0415987819433212e-05
0.003565185936167836,0.0021566159557551146,0.0003550279652699828,1.7671962268650532e-05
0.0033158999867737293,0.00213401997461915,0.00027219997718930244,1.7335056327283382e-05
0.003502100007608533,0.0021582189947366714,0.00030064303427934647,1.740502193570137e-05
0.0037220349768176675,0.0025130960857495666,0.0002719690091907978,1.7054029740393162e-05
0.0036494870437309146,0.00249883602373302,0.00033402699045836926,1.743808388710022e-05
0.003409867058508098,0.002138050040230155,0.00034745398443192244,1.748290378600359e-05
0.003466991940513253,0.002146718092262745,0.00026110000908374786,1.7393031157553196e-05
0.0034521089401096106,0.002145108999684453,0.0003320419928058982,1.733703538775444e-05
0.0038311710814014077,0.0025652270996943116,0.0002590069780126214,1.8617953173816204e-05
0.003963838913477957,0.002181791001930833,0.00048169202636927366,1.8279999494552612e-05
0.003526928019709885,0.0021632459247484803,0.0002579120919108391,1.6805948689579964e-05
0.003552953014150262,0.002160586998797953,0.00028667994774878025,1.6805017367005348e-05
0.0038659709971398115,0.0025429798988625407,0.0002528759650886059,1.7837039195001125e-05
0.003940023947507143,0.002524703973904252,0.0003774450160562992,1.7930055037140846e-05
0.0036045609740540385,0.0021504689939320087,0.00036744598764926195,1.7671030946075916e-05
0.0035130640026181936,0.0021647049579769373,0.00027329602744430304,1.7924001440405846e-05
0.003467378090135753,0.002168554929085076,0.00025218608789145947,1.6709906049072742e-05
0.003795500029809773,0.0025280150584876537,0.0002716720337048173,1.8137972801923752e-05
0.003974094986915588,0.002345124026760459,0.0004035199526697397,1.827895175665617e-05
0.004282084060832858,0.002181575051508844,0.00026390200946480036,1.8110033124685287e-05
0.0034536439925432205,0.0021652469877153635,0.0002506700111553073,1.787103246897459e-05
0.003912249929271638,0.002578875981271267,0.00025651289615780115,1.9273022189736366e-05
0.003625596989877522,0.0023371659917756915,0.0002611689269542694,1.850794069468975e-05
0.0037583980010822415,0.0021717200288549066,0.00034635094925761223,4.416599404066801e-05
0.0034647600259631872,0.0021672879811376333,0.0002515750238671899,1.8116086721420288e-05
0.0040641879895702004,0.0026431859005242586,0.0002639420563355088,1.6618985682725906e-05
0.003866854007355869,0.002190242987126112,0.0003605230012908578,1.866708043962717e-05
0.0038598780520260334,0.0021601710468530655,0.000335650984197855,1.8450897186994553e-05
0.0036911210045218468,0.002163750003091991,0.0002629871014505625,1.8230057321488857e-05
0.003508365945890546,0.0021596780279651284,0.00024419405963271856,1.703097950667143e-05
0.003736836020834744,0.00243539793882519,0.00025212601758539677,1.842901110649109e-05
0.003821203950792551,0.0024063809541985393,0.00033813202753663063,1.7851009033620358e-05
0.003606950049288571,0.0021718860371038318,0.0003319280222058296,1.800700556486845e-05
0.003401125082746148,0.0021469100611284375,0.00026994291692972183,1.7347978428006172e-05
0.003491612966172397,0.0021596470614895225,0.00030409195460379124,1.9524944946169853e-05
0.004099635989405215,0.002545056981034577,0.0003559369361028075,1.9222963601350784e-05
0.003730173106305301,0.002175852074287832,0.00033759395591914654,1.7745885998010635e-05
0.0034703350393101573,0.0021601399639621377,0.00025596993509680033,1.796404831111431e-05
0.003357612993568182,0.0021426460007205606,0.0002717359457165003,1.761806197464466e-05
0.0038270100485533476,0.0024310729932039976,0.00025281799025833607,1.8045073375105858e-05
0.0036910929484292865,0.002400639932602644,0.0003543510101735592,1.709593925625086e-05
0.0037255299976095557,0.0021672180155292153,0.00034871010575443506,1.6766018234193325e-05
0.0034823170863091946,0.0021557461004704237,0.00028861791361123323,1.781107857823372e-05
0.0034532739082351327,0.002159040072001517,0.00025323498994112015,1.7922022379934788e-05
0.0037087269593030214,0.0025254369247704744,0.00026744394563138485,1.7715967260301113e-05
0.0037850249791517854,0.0021023149602115154,0.000337818986736238,1.8351944163441658e-05
0.0040983440121635795,0.0021120900055393577,0.0007552229799330235,1.8061022274196148e-05
0.003464453970082104,0.0021152490517124534,0.0002576860133558512,1.781294122338295e-05
0.0035364479990676045,0.002089909976348281,0.00025747809559106827,1.777498982846737e-05
0.003667145036160946,0.002287146053276956,0.0003479970619082451,2.0640087313950062e-05
0.003823686041869223,0.0020995159866288304,0.0003393169026821852,1.8685939721763134e-05
0.0034267479786649346,0.0020903029944747686,0.0002587109338492155,1.6854028217494488e-05
0.003313494031317532,0.0020852520829066634,0.00027753598988056183,1.569592859596014e-05
0.003995870938524604,0.002500856062397361,0.0003468210343271494,1.8930993974208832e-05
0.004103704006411135,0.002349465969018638,0.00039516889955848455,1.8764054402709007e-05
0.003616784932091832,0.002116195042617619,0.0003332119667902589,1.781899482011795e-05
0.0034164669923484325,0.0021118168951943517,0.000256252009421587,1.7764046788215637e-05
0.003509931033477187,0.0021058019483461976,0.00024832901544868946,1.717603299766779e-05
0.0036372969625517726,0.002118418109603226,0.00033260195050388575,1.730897929519415e-05
0.0035694249672815204,0.0021211280254647136,0.00033388310112059116,1.742900349199772e-05
0.0034615600015968084,0.002106865984387696,0.00025005603674799204,1.7925049178302288e-05
0.0034407940693199635,0.002148302039131522,0.00024225295055657625,1.7196987755596638e-05
0.003474708995781839,0.0020957549568265676,0.0002550130011513829,1.9017956219613552e-05
0.003697911975905299,0.0021160499891266227,0.0003352620406076312,1.7927028238773346e-05
0.003634363994933665,0.0021110940724611282,0.0003367180470377207,1.8188031390309334e-05
0.0034500010078772902,0.002111174981109798,0.0002513451036065817,1.7935060895979404e-05
0.003433907055296004,0.002105045015923679,0.00024746195413172245,1.7576036043465137e-05
0.003714389051310718,0.0024805610300973058,0.00038294598925858736,1.790793612599373e-05
0.0034126759273931384,0.0020861109951511025,0.00039362499956041574,1.7503974959254265e-05
0.003414990962482989,0.0020904249977320433,0.00035009090788662434,1.7631915397942066e-05
0.0034318800317123532,0.002107073087245226,0.0002600420266389847,1.6952981241047382e-05
0.0033642640337347984,0.0020870589651167393,0.0002837029751390219,1.706893090158701e-05
0.003573924070224166,0.0022688329918310046,0.00036247691605240107,1.8863938748836517e-05
0.003568482003174722,0.0021031920332461596,0.0003345359582453966,1.7937039956450462e-05
0.003491910989396274,0.0021096649579703808,0.0002625200431793928,1.850607804954052e-05
0.0035188720794394612,0.0021226799581199884,0.0002597629791125655,1.7749960534274578e-05
0.0034698620438575745,0.002119483076967299,0.0002849310403689742,1.7151003703475e-05
0.0033833360066637397,0.0020856959745287895,0.00033205095678567886,1.7215963453054428e-05
0.0035526090068742633,0.0021051139337942004,0.00034831801895052195,1.772900577634573e-05
0.0034905769862234592,0.002111727953888476,0.00027319497894495726,1.8129008822143078e-05
0.0031851480016484857,0.002072576084174216,0.0002527360338717699,1.7647049389779568e-05
0.003226055996492505,0.0020769640104845166,0.000284880050458014,1.782504841685295e-05
0.0040011919336393476,0.0023778530303388834,0.00041342293843626976,1.981598325073719e-05
0.0036512939259409904,0.0021222030045464635,0.0003390270285308361,1.767999492585659e-05
0.0034537460887804627,0.002087555010803044,0.0002514260122552514,2.2912980057299137e-05
